Time step (1e5),Gamma_500,Gamma_1k,Gamma_8k,Gamma_20k,tau_0001,tau_001,tau_005,tau_01,tau_05
0,0.26618164,-0.798133758,-0.167747082,-0.13996025,0.251961385,-0.217518985,0.543177242,-0.205630838,0.372979693
0.1,1.007291249,1.010784092,-0.097656229,-0.026989993,0.055734099,0.594129765,0.142646926,0.103560534,0.005973654
0.2,1.314145737,0.398409246,0.472999452,0.414929487,0.253568991,0.667190691,0.814546326,0.022990617,0.468782246
0.3,2.219821176,1.788123447,1.051576008,0.286482372,0.907893074,1.626083537,1.674776461,0.515390056,0.518483178
0.4,1.067066831,0.888827506,1.862778608,0.27360356,1.702480242,1.128818139,1.796902467,0.623956814,-0.041326751
0.5,1.557823228,1.455790533,1.316131829,1.034535744,1.439608461,1.804631972,1.734374925,0.732324035,1.099024581
0.6,2.497450603,2.370440421,2.50479893,0.580352484,1.95513846,1.714440606,1.887949462,0.838397311,0.00873391
0.7,3.041162077,1.806107989,2.643841968,1.227645659,1.827773166,3.040299075,2.748100705,1.00429669,0.745641488
0.8,3.305664961,3.153742516,3.188944948,0.626501831,2.504867717,2.998238002,2.651263694,0.74179706,0.052337266
0.9,2.915809096,2.763236237,3.19259619,1.39548837,2.881937892,2.981447046,3.292122591,1.636457487,0.573683777
1,4.245776281,3.42409595,3.515472803,1.161522221,3.257272362,3.042294126,3.792552767,1.772087049,0.113309247
1.1,4.98294497,4.324275054,3.397335001,1.662475997,2.845304439,3.671614039,3.888525071,1.698354504,0.878563949
1.2,5.073576677,4.573581051,4.536154275,1.849231806,3.27333788,4.347992957,4.503564078,2.20098258,0.742565544
1.3,6.433288105,4.297394554,4.905866541,1.861646717,3.131201877,4.606520291,4.179483974,2.325635603,1.064713234
1.4,4.906284753,4.888505485,5.055018429,1.683155805,3.916653391,5.094275097,4.943454306,2.606123674,0.686581204
1.5,6.238156695,5.867441205,5.116034974,2.243239145,3.26549432,6.17652185,4.985902966,2.022005329,1.228797362
1.6,6.723615316,5.863597294,5.306235037,2.221777144,4.317146402,6.771448783,6.26342882,2.366456086,1.152946993
1.7,6.05796279,6.188259175,5.700094226,1.878050073,3.595812409,6.411508283,5.521961261,3.087463692,1.339859529
1.8,5.742236424,6.522136178,6.489902321,2.786362478,3.85284557,6.876268271,5.964363446,3.09225328,0.441079548
1.9,5.901312662,6.829018075,6.848475172,2.97151939,3.793149389,6.813168699,7.084128378,3.225647107,1.435246865
2,6.009486315,6.947401179,6.540729631,2.49860475,4.688688132,6.952589929,6.82590975,3.531775741,1.554116209
2.1,6.516861953,8.296148544,7.586838515,2.807781322,4.158972341,6.991481001,7.354653302,3.426697932,0.878581538
2.2,5.609300238,8.279930914,7.632450679,3.305982733,4.720939203,6.366223217,7.635765492,3.952836333,1.025420432
2.3,3.97946706,8.755641033,7.004630543,3.522283918,5.052357353,7.275787568,8.554873154,4.077627233,0.981951318
2.4,5.459229599,8.251980458,7.504252641,3.716035831,4.70368903,6.561988456,8.628539686,3.848646948,2.088657975
2.5,4.83172246,6.95010432,7.375697822,2.980224626,5.543741137,6.571326514,7.968576709,3.631326925,1.877756879
2.6,4.595572517,7.774447784,7.799922366,3.922476003,5.743650637,7.083733621,8.119073517,4.540954095,1.548874146
2.7,2.599128908,6.695134857,7.444844393,4.21022867,5.153011754,6.361540063,8.251582246,4.316075901,1.779672823
2.8,4.280091712,6.665066008,7.665119558,3.99830312,5.141400429,7.010020125,8.503091073,4.411643178,1.812236881
2.9,3.535576272,6.275011104,7.584534123,4.254478958,5.707273283,6.187202773,8.991865062,5.273103424,2.352210708
3,2.974270611,5.790272577,8.234757987,4.054640337,6.031734553,6.523439947,8.4810801,5.235058814,2.397283329
3.1,2.61204086,5.975315234,7.742976303,4.368664284,6.162045409,6.334786315,8.176462813,5.03274371,1.604734502
3.2,2.410652733,6.420272319,8.156215073,4.444576022,5.54713503,6.970151374,8.942240415,5.433308035,1.620207904
3.3,2.972860578,5.703958453,7.870954874,5.051110247,5.958996746,6.358368922,9.335857741,5.011377867,2.527753742
3.4,2.83769965,4.750097105,7.839760034,4.559255299,5.258466823,6.473265723,8.881012105,5.045621195,2.556425203
3.5,1.853839114,4.522497042,8.317437795,5.177686948,5.944695237,6.239597228,9.412190014,5.461285506,2.881190584
3.6,2.267156586,5.340906606,8.596459883,4.51710161,5.990039585,7.051156745,8.638950421,6.125181582,2.404384902
3.7,3.54122567,5.425862173,8.928089141,4.988939887,6.37513593,6.923537335,9.486959881,5.905801047,2.186661163
3.8,2.289528,4.705441445,8.839519913,5.18974239,6.374577255,2.85868611,9.678067235,6.380204596,2.164825739
3.9,2.599899793,5.707109717,8.529789535,5.338533099,6.589273866,2.615146268,9.975743136,6.54631457,2.972645779
4,4.214435565,5.509582877,9.20266645,5.489817758,5.770852914,2.629598476,9.34657298,6.761002739,2.795782131
4.1,4.072381626,5.21260545,9.227266868,5.827749741,6.04277332,1.866897554,9.51765788,6.769377925,2.30007437
4.2,2.702285891,5.592006843,9.115684597,5.412939015,6.047190687,1.601934672,9.723764935,6.466648801,2.329849125
4.3,4.250198417,6.019507824,9.118901033,6.235003211,6.117091118,0.73662394,9.36746476,7.025495291,3.395471479
4.4,4.270210859,6.42868831,8.775484222,6.166958408,6.269517446,1.141695609,9.333710116,7.172098867,2.49484088
4.5,2.265650382,5.303969514,9.615258613,6.088003551,5.894197344,1.349150875,9.544539442,7.790138934,3.603457637
4.6,3.430134202,5.573452143,9.06038896,6.660568492,6.10077795,1.365130951,9.8179805,7.658916788,3.349679758
4.7,2.697293089,5.610923549,9.190436612,6.958431518,6.222332748,0.881327856,9.288583319,7.200124285,3.029526964
4.8,2.692285199,5.587130269,9.429477592,6.646067835,6.592598101,0.785298895,10.0031705,7.867533337,3.478974612
4.9,4.212298942,5.222637997,9.869253509,7.079554201,6.328317711,0.828714304,9.184739055,7.978495994,3.425065476
5,3.998464511,5.386781473,9.769495293,6.962838359,6.005228626,0.769274658,10.05377237,8.313258735,3.239079012
5.1,3.869467242,5.697587374,9.799626408,6.668569488,6.937140105,0.922220842,9.758200605,8.088907527,3.209183542
5.2,4.23103515,6.300522882,9.216432988,7.459351181,6.720771873,1.154583556,9.890604907,8.739182848,3.136717724
5.3,4.167615443,6.534718033,10.05129494,7.165382278,6.803870732,0.768102839,9.23894931,8.471247667,3.745639548
5.4,2.309255668,5.854072111,9.784742995,7.698426402,7.137450039,1.083863796,9.805751455,8.576097615,3.61033736
5.5,3.084934945,5.780114957,9.908999755,7.631011214,6.419298622,0.69304162,9.758197776,8.765281939,3.859772496
5.6,3.294900485,6.119047442,9.549651316,7.569375466,6.346933371,1.058101009,9.935733292,8.706351665,3.86412228
5.7,1.664931436,6.90607939,9.716310307,7.241333449,6.607066792,0.735424786,9.849511161,8.307996032,4.044375126
5.8,2.615761723,6.997349454,9.115490024,7.199510885,6.97011125,0.680167224,9.691780321,8.917042198,4.303450791
5.9,2.666378698,6.723754043,9.323694124,7.978305989,6.18170075,1.324281484,9.67995138,8.398967458,3.925225312
6,3.867954799,5.879404428,9.995972261,8.160310128,5.965405793,1.092588148,9.423320406,8.30039006,4.429117706
6.1,2.440262426,5.619503271,9.903779383,7.822723613,5.935277233,0.803392388,9.585251179,8.681463109,4.377700721
6.2,2.885333607,6.222444301,9.988964296,7.85449884,5.181202026,1.086846897,8.891966849,8.147867784,3.741196957
6.3,3.315038976,6.532125078,9.84646234,8.278815643,5.378609382,1.084183935,9.494435638,8.274573471,4.041552899
6.4,3.002178219,6.097140749,9.438953561,7.937269099,4.213183365,0.77247182,9.939454744,8.284077236,3.986049377
6.5,3.58758697,6.604016109,9.775676455,7.719677536,4.044824938,1.251085211,9.251659909,8.671765889,4.660915487
6.6,2.57809939,6.116027719,9.586868216,7.958054161,4.459249384,1.285176255,9.285416212,8.772865194,4.728158898
